step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,painted-textile-fragment,0.5,0.5,1,,"What is this? ","This is a woven piece of cotton hand painted with with natural dyes. It measures at 14.6 x 13.1 cm. ",,Learn more,fabric-what-culture-is.md,,,,,
2,painted-textile-fragment,0.7533443140382555,0.49608267192165767,2.150641025641026,,What is this figure?,"s is the female Staff God from the Chavin culture. ",,,,,,,,
3,painted-textile-fragment,0.7288657872851518,0.5227546350173964,3.225961538461539,,What are attributes of the Staff God?,"The Staff God is typically depicted with a feline mouth and a snake belt. ",,,,,,,,
4,painted-textile-fragment,0.5,0.5,1,,"Were these mass produced? ","It geometric patterns were hand painted and the textile is small. It is possible that they were small and plentiful or possibly they were part of a larger piece of fabric. ",,Learn more,fabric-was-this-work.md,,,,,
